B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,class
0.0714,0.0767,0.1088,0.1388,0.1579,0.1663,0.1777,0.1814,0.2043,0.2281,0.3194,0.2556,agri2
0.0714,0.0767,0.11,0.1382,0.1579,0.1663,0.1777,0.1804,0.2043,0.2281,0.3194,0.2556,agri2
0.0725,0.0767,0.1122,0.1414,0.1603,0.173,0.1897,0.1834,0.2124,0.2331,0.3196,0.2501,agri2
0.0714,0.0777,0.11,0.1402,0.1605,0.1664,0.1773,0.1864,0.1984,0.2281,0.3198,0.257,agri2
0.0714,0.0772,0.1082,0.1388,0.1605,0.1664,0.1773,0.1826,0.1984,0.2281,0.3198,0.257,agri2
0.0714,0.0742,0.107,0.1388,0.1579,0.1663,0.1777,0.1762,0.2043,0.2281,0.3194,0.2556,agri2
0.0714,0.0725,0.1064,0.1368,0.1579,0.1663,0.1777,0.1824,0.2043,0.2281,0.3194,0.2556,agri2
0.0725,0.0716,0.1086,0.1362,0.1603,0.173,0.1897,0.188,0.2124,0.2331,0.3196,0.2501,agri2
0.0725,0.0704,0.103,0.1288,0.1603,0.173,0.1897,0.2036,0.2124,0.2331,0.3196,0.2501,agri2
0.0714,0.0738,0.1088,0.1354,0.1658,0.1841,0.1931,0.1832,0.2202,0.2281,0.3173,0.2511,agri2
0.0714,0.0766,0.1108,0.139,0.1673,0.1862,0.2041,0.187,0.2228,0.2281,0.3231,0.2514,agri2
0.0714,0.0742,0.1086,0.1382,0.1673,0.1862,0.2041,0.1956,0.2228,0.2281,0.3231,0.2514,agri2
0.0714,0.0769,0.1118,0.1412,0.1714,0.1882,0.201,0.1972,0.2244,0.2281,0.3217,0.2521,agri2
0.0714,0.075,0.1092,0.1408,0.1714,0.1882,0.201,0.2102,0.2244,0.2281,0.3217,0.2521,agri2
0.0725,0.0704,0.107,0.1312,0.1682,0.1946,0.2058,0.2264,0.2272,0.2331,0.3177,0.2483,agri2
0.0725,0.0659,0.1013,0.1252,0.1682,0.1946,0.2058,0.2314,0.2272,0.2331,0.3177,0.2483,agri2
